file,speaker,rank,mbti_type,probability,reasoning
B_vs_P_20260419_170738.txt,INTJ,1,INTJ,0.74,"The speaker is highly strategic, pattern-focused, controlled, and intent on extracting facts and exposing inconsistencies with precision and minimal emotional display."
B_vs_P_20260419_170738.txt,INTJ,2,ENTJ,0.17,"Their directness, decisiveness, and emphasis on managing the conversation toward a goal could also fit an ENTJ, though they are less overtly commanding than typical."
B_vs_P_20260419_170738.txt,INTJ,3,INTP,0.09,"The analytical deconstruction of motives and timelines suggests INTP, but the tone is much more organized, directive, and outcome-driven than exploratory."
E_vs_A_20260419_170738.txt,E,1,INTJ,0.52,"E is highly focused on isolating the core facts, controlling the pace, and cutting through emotion and ambiguity with precise, strategic language."
E_vs_A_20260419_170738.txt,E,2,ENTJ,0.28,"E shows a decisive, directive style and a strong preference for forcing clarity and accountability in a tense conflict."
E_vs_A_20260419_170738.txt,E,3,INTP,0.2,E also shows analytical detachment and a desire to reduce the situation to objective facts before engaging with it.
E_vs_A_20260419_170738.txt,A,1,ENTJ,0.46,"A is highly directive, strategic, and outcome-focused, repeatedly steering the other person toward a controlled confrontation and using decisive, no-nonsense phrasing."
E_vs_A_20260419_170738.txt,A,2,INTJ,0.34,"A consistently strips the issue to its core, analyzes motive and structure, and prioritizes a clean, efficient plan over emotional processing."
E_vs_A_20260419_170738.txt,A,3,ENTP,0.2,"A shows some quick tactical language and comfort with sparring and reframing, but is much more focused and disciplined than a typical ENTP."
E_vs_I_20260419_170738.txt,E,1,INTJ,0.58,"E speaks in strategic, controlled, outcome-focused language, emphasizing leverage, positioning, and staying a few steps back while analyzing the situation calmly."
E_vs_I_20260419_170738.txt,E,2,ENTJ,0.24,"E is direct, decisive, and directive, repeatedly setting the plan and framing the interaction in terms of objectives and handling implications later."
E_vs_I_20260419_170738.txt,E,3,INTP,0.18,"E shows analytical model-updating language and detached observation of patterns, but the tone is more organized and commanding than typical INTP tangentiality."
E_vs_I_20260419_170738.txt,I,1,INTP,0.46,"Speaker I is highly analytical and internally reflective, using model-updating, diagnostic, and structural language while processing uncertainty in a detached, curious way."
E_vs_I_20260419_170738.txt,I,2,INTJ,0.34,"They focus on strategic emotional control, positioning, and minimizing exposure, which strongly suggests an organized, outcome-oriented INTJ style."
E_vs_I_20260419_170738.txt,I,3,INFJ,0.2,"Their sensitivity to the interpersonal atmosphere and concern with the deeper implications of the reveal gives a quieter INFJ flavor, though their tone is more analytical than empathetic."
F_vs_I_20260419_170738.txt,F,1,INTJ,0.56,"F consistently speaks in strategic, systems-focused deductions, stays emotionally controlled, and drives the conversation toward a precise conclusion with confidence and patience."
F_vs_I_20260419_170738.txt,F,2,ENTJ,0.27,"F is decisive, direct, and outcome-oriented, repeatedly taking charge of the investigation and issuing crisp instructions to manage the room and force a confession."
F_vs_I_20260419_170738.txt,F,3,INTP,0.17,"F shows analytical pattern-spotting and timeline reasoning, but is more commanding and conclusion-driven than the typical exploratory, tangential INTP style."
F_vs_I_20260419_170738.txt,I,1,ENTP,0.46,"Speaker [I] is quick-witted, verbally agile, and enjoys probing motives, reframing the situation, and pressure-testing ideas in a playful devil’s-advocate style."
F_vs_I_20260419_170738.txt,I,2,ENTJ,0.31,"They also show a decisive, commanding, outcome-focused approach, directing strategy, controlling the conversation, and pushing for a clean confrontation."
F_vs_I_20260419_170738.txt,I,3,INTJ,0.23,"Their pattern-based analysis and preference for strategic, detached inference also fit INTJ, though the tone is more conversational and reactive than typically private or restrained."
F_vs_P_20260419_170738.txt,F,1,INTJ,0.52,"F is strategic, controlled, and focused on isolating facts, cutting through noise, and using a precise questioning approach rather than emotional escalation."
F_vs_P_20260419_170738.txt,F,2,ENTJ,0.28,"F shows directive, no-nonsense leadership in steering the confrontation and insisting on a direct answer, but with less overt dominance than a classic ENTJ."
F_vs_P_20260419_170738.txt,F,3,ISTJ,0.2,"F emphasizes order, facts, and procedural clarity, repeatedly narrowing the discussion to concrete commitments and avoiding digressions or emotional theatrics."
F_vs_P_20260419_170738.txt,P,1,ENTJ,0.46,"P is highly directive, outcome-focused, and naturally takes charge by structuring the confrontation and controlling the conversation step by step."
F_vs_P_20260419_170738.txt,P,2,INTJ,0.34,"P shows strategic, incisive problem-solving with a strong focus on the core issue, minimizing noise, and crafting a precise plan to extract the truth."
F_vs_P_20260419_170738.txt,P,3,ENTP,0.2,"P has some quick, sharp phrasing and verbal agility, but the tone is more controlling and decisive than playful or debate-driven."
G_vs_O_20260419_170738.txt,INTJ,1,INTJ,0.72,"The speaker is highly strategic, pattern-focused, emotionally restrained, and consistently pushes for precise evidence and a controlled plan, which is strongly INTJ."
G_vs_O_20260419_170738.txt,INTJ,2,ENTJ,0.18,"The direct, decisive, and controlling tone with an emphasis on managing the situation and making people commit also fits ENTJ, though the style is less overtly commanding than typical."
G_vs_O_20260419_170738.txt,INTJ,3,INTP,0.1,"The analytical breakdown of timelines, contradictions, and wording could fit INTP, but the sustained decisiveness and structured agenda are more INTJ than exploratory INTP."
J_vs_G_20260419_170738.txt,J,1,ENTJ,0.5,"J is direct, decisive, and immediately moves the conversation toward facts, sequencing, and control of the situation, which strongly fits an ENTJ style."
J_vs_G_20260419_170738.txt,J,2,INTJ,0.35,"J also shows a strategic, no-nonsense approach focused on narrowing variables, managing fallout, and keeping emotions secondary, which is very INTJ-like."
J_vs_G_20260419_170738.txt,J,3,ESTJ,0.15,"J’s emphasis on order, clear truth, and step-by-step damage control suggests an organized executive mindset that could align with ESTJ."
J_vs_G_20260419_170738.txt,G,1,INFJ,0.46,"G speaks with restrained warmth, guilt, and a strong focus on protecting others from emotional fallout while trying to restore calm and tell the truth carefully."
J_vs_G_20260419_170738.txt,G,2,ISFJ,0.31,"The tone is cautious, responsible, and conflict-averse, with clear concern for keeping people steady and handling the situation step by step."
J_vs_G_20260419_170738.txt,G,3,INTJ,0.23,"G also shows strategic damage-control thinking, private information management, and a preference for organized, direct disclosure once the moment is right."
L_vs_U_20260419_170738.txt,L,1,ENTJ,0.46,"L is forceful, directive, and focused on taking charge of the crisis by demanding clarity, setting the next steps, and controlling the room."
L_vs_U_20260419_170738.txt,L,2,INTJ,0.34,"L shows strategic, matter-of-fact problem solving with an emphasis on facts, sequencing, and minimizing chaos rather than emotional processing."
L_vs_U_20260419_170738.txt,L,3,ESTJ,0.2,"L also fits a practical, no-nonsense organizer who wants the timeline, the truth, and an orderly plan before anyone reacts."
L_vs_U_20260419_170738.txt,U,1,INTJ,0.44,"U is controlled, strategic under pressure, focused on facts and damage control, and speaks in a guarded but decisive way that fits an INTJ."
L_vs_U_20260419_170738.txt,U,2,ENTJ,0.33,"U repeatedly tries to manage the situation efficiently, set the order of disclosure, and push toward action, which is strongly ENTJ-like despite the emotional strain."
L_vs_U_20260419_170738.txt,U,3,ISTJ,0.23,"U emphasizes responsibility, timeline, correctness, and minimizing chaos, with a practical plainspoken style that also resembles ISTJ."
N_vs_M_20260419_170738.txt,N,1,INTJ,0.6,"N speaks in controlled, strategic, and emotionally contained language, quickly reframing the situation into clear conclusions and prioritizing an efficient exit."
N_vs_M_20260419_170738.txt,N,2,ISTJ,0.23,"Their focus on damage control, propriety, and a practical step-by-step departure suggests a grounded, duty-minded, no-drama style."
N_vs_M_20260419_170738.txt,N,3,INTP,0.17,"The detached analysis of the event and the phrase ""pieces finally clicked into place"" hint at an intellectual, observant mind, though the tone is less exploratory than typical INTP."
N_vs_M_20260419_170738.txt,M,1,INTJ,0.42,"M is controlled, strategic, and privately reflective, focusing on the implications of the event and on clean, efficient exit rather than emotional processing."
N_vs_M_20260419_170738.txt,M,2,INFJ,0.31,"M shows a calm, meaning-oriented empathy with phrases about 'truth' and making 'the shape of things clearer,' while also protecting harmony and minimizing drama."
N_vs_M_20260419_170738.txt,M,3,ISTJ,0.27,"M sounds restrained, practical, and duty-focused, emphasizing order, composure, and straightforward action over open-ended emotional exploration."
T_vs_D_20260419_170738.txt,T,1,INTJ,0.52,"T speaks in controlled, strategic, systems-oriented language, emphasizes model-updating and positioning, and stays emotionally restrained while focusing on long-term implications."
T_vs_D_20260419_170738.txt,T,2,ENTJ,0.28,"T is decisive, directive, and manages the situation by setting objectives and tactical behavior, sounding like someone taking charge under pressure."
T_vs_D_20260419_170738.txt,T,3,INTP,0.2,"T also shows detached analytical framing and meta-commentary about how brains process new data, though the tone is more organized and forceful than exploratory."
T_vs_D_20260419_170738.txt,D,1,INTP,0.45,"D shows analytical, model-updating language, detached observation, and a habit of mentally re-running data rather than reacting emotionally."
T_vs_D_20260419_170738.txt,D,2,INTJ,0.35,"Their focus on strategic positioning, minimizing exposure, and controlling the situation with calm restraint fits an INTJ-style tactical mindset."
T_vs_D_20260419_170738.txt,D,3,INFJ,0.2,"D is highly attuned to the emotional atmosphere and underlying meanings in the room, though they express it in a more clinical, guarded way."
T_vs_H_20260419_170738.txt,T,1,INTJ,0.56,"T speaks strategically, stays controlled and private, reads social tells quickly, and focuses on efficient pressure and timing rather than open emotional engagement."
T_vs_H_20260419_170738.txt,T,2,ENTJ,0.29,"T is decisive, direct, and outcome-focused, taking charge of the interaction and framing the conversation around leverage and getting results."
T_vs_H_20260419_170738.txt,T,3,ISTP,0.15,"T is terse, observant, and pragmatic, concentrating on concrete behavioral cues and immediate tactical moves with minimal emotional display."
T_vs_H_20260419_170738.txt,H,1,INFJ,0.52,"H speaks with subtle emotional attunement, reads hidden motives, and frames the conflict in terms of truth, silence, and relational consequences rather than pure logic or force."
T_vs_H_20260419_170738.txt,H,2,INTJ,0.29,"H is strategic, controlled, and highly observant, preferring a precise, low-drama approach that uses silence and timing to expose the truth."
T_vs_H_20260419_170738.txt,H,3,INTP,0.19,"H shows analytical pattern-reading and detached inference about behavior, though the tone is more emotionally engaged and purposeful than typically INTP."
U_vs_L_20260419_170738.txt,U,1,INTJ,0.63,"U speaks in strategic, detached, high-level terms, rapidly models motives and consequences, and prioritizes control, facts, and leverage over emotional processing."
U_vs_L_20260419_170738.txt,U,2,ENTJ,0.24,"U shows decisive leadership, pressure-testing, and command-like direction, especially in telling the other person how to handle the situation and push for the truth."
U_vs_L_20260419_170738.txt,U,3,INTP,0.13,"U’s analytical probing and theory-driven interpretation of everyone’s behavior suggest Ti-style reasoning, though the tone is more forceful and outcome-oriented than typical INTP."
U_vs_L_20260419_170738.txt,L,1,INTJ,0.52,"L speaks in strategic, outcome-focused terms, reads motives and power dynamics quickly, and stays coolly controlled while aiming to get facts before acting."
U_vs_L_20260419_170738.txt,L,2,ENTJ,0.28,"Their direct, decisive, no-nonsense style and willingness to take charge and ""handle it"" strongly fit an assertive Te-led personality."
U_vs_L_20260419_170738.txt,L,3,ISTP,0.2,"L is terse, pragmatic, and highly observant under pressure, favoring immediate tactical action and precise reading of the situation."
W_vs_A_20260419_170738.txt,W,1,INTJ,0.52,"W sounds strategic, controlled, and emotionally contained, quickly reframing the situation into clear implications and prioritizing a clean, efficient exit."
W_vs_A_20260419_170738.txt,W,2,ENTJ,0.28,"W is direct, decisive, and action-oriented, taking charge of the departure with crisp commands and a results-first mindset."
W_vs_A_20260419_170738.txt,W,3,ISTJ,0.2,"W shows restraint, practicality, and a focus on getting out cleanly without drama, with a grounded, no-nonsense tone."
W_vs_A_20260419_170738.txt,A,1,INTJ,0.46,"A is controlled, strategic, and emotionally restrained, framing the situation as a clear pattern to be processed later rather than reacted to now."
W_vs_A_20260419_170738.txt,A,2,ISTJ,0.29,"A emphasizes order, closure, and practical exit behavior with plain, no-nonsense language focused on getting through the moment cleanly."
W_vs_A_20260419_170738.txt,A,3,INTP,0.25,"A briefly shifts into abstract analysis about the 'shape of things' and shows a detached, reflective style, though less exploratory than a typical INTP."
X_vs_M_20260419_170738.txt,X,1,INTJ,0.62,"X is highly strategic, pattern-focused, and controlled, constantly reframing the situation into motives, leverage, and next moves with terse precision."
X_vs_M_20260419_170738.txt,X,2,ENTJ,0.26,"X shows decisive, commanding energy and a strong bias toward taking control of the situation, directing action and prioritizing facts before consequences."
X_vs_M_20260419_170738.txt,X,3,INTP,0.12,"X is analytical and skeptical, but the tone is less exploratory and more assertive than a typical INTP, making this a weaker fit."
X_vs_M_20260419_170738.txt,M,1,INTJ,0.48,"M speaks in sharp, strategic, pattern-based judgments, stays controlled under pressure, and focuses on identifying leverage and acting with precision."
X_vs_M_20260419_170738.txt,M,2,ENTJ,0.34,"He is decisive, commanding, and action-oriented, framing the situation in terms of control, timing, and who will be dragged or handled."
X_vs_M_20260419_170738.txt,M,3,INTP,0.18,"His analysis is highly logical and probing, but the tone is more forceful and outcome-driven than typical INTP detachment."
Y_vs_B_20260419_170738.txt,Y,1,INTJ,0.56,"Y analyzes the social situation strategically, focuses on control, motive, and sequencing, and speaks in a sharp, confident, low-emotion way typical of an INTJ."
Y_vs_B_20260419_170738.txt,Y,2,ENTJ,0.29,"Y is directive, decisive, and outcome-focused, quickly assigning roles and pushing the conversation toward a controlled confrontation, which fits ENTJ energy."
Y_vs_B_20260419_170738.txt,Y,3,INTP,0.15,"Y shows strong pattern analysis and timeline reasoning, but the tone is more forceful and organized than the usual exploratory, tangent-prone INTP style."
Y_vs_B_20260419_170738.txt,B,1,ENTP,0.5,"B is quick-witted, verbally agile, enjoys the adversarial back-and-forth, and repeatedly reframes the situation with playful, probing devil’s-advocate energy."
Y_vs_B_20260419_170738.txt,B,2,ENTJ,0.3,"B is decisive, strategic, and directive about how to pressure the suspect, showing a take-charge style focused on control and outcomes."
Y_vs_B_20260419_170738.txt,B,3,INTJ,0.2,"B also shows a cool, pattern-focused, analytical approach that infers motives and structures the confrontation like a strategic problem."
Z_vs_W_20260419_170738.txt,Z,1,INTJ,0.54,"Z is strategic, controlled, and highly process-focused, using precise psychological reads and a calculated, low-drama approach to extract truth."
Z_vs_W_20260419_170738.txt,Z,2,ENTJ,0.31,"Z shows decisive leadership, takes charge of the interaction, and speaks in direct, outcome-oriented language aimed at controlling the situation."
Z_vs_W_20260419_170738.txt,Z,3,ISTJ,0.15,"Z is practical and fact-oriented, emphasizing evidence, order, and keeping things tight, though the tone is more strategic than traditionally dutiful."
Z_vs_W_20260419_170738.txt,W,1,INFJ,0.44,"W reads people’s motives and emotional undercurrents quickly, speaks in quiet metaphorical language, and balances principled concern with strategic interpersonal insight."
Z_vs_W_20260419_170738.txt,W,2,INTJ,0.31,"W is highly strategic, controlled, and focused on extracting truth through a precise plan, showing a calm, analytical, outcome-oriented style."
Z_vs_W_20260419_170738.txt,W,3,INTP,0.25,"W shows detached pattern-spotting and analytical reasoning about cues like pauses and eye-darts, though the tone is more emotionally attuned than typical INTP."
